bottom,bottom_color,top,top_color,id
Sari,black,,,asap_rocky_outfit.jpeg
Pant,grey,shirt,beige,asap_rocky_outfit7.jpeg
,,shirt,grey,asap_rocky_outfit7.jpeg
,,shirt,silver,asap_rocky_outfit7.jpeg
,,shirt,silver,outfit1.jpeg
,,Tshirt,grey,asap_rocky_outfit10.jpeg
,,shirt,black,asap_rocky_outfit10.jpeg
,,Tshirt,grey,asap_rocky_outfit11.jpeg
,,Tshirt,black,asap1.jpeg
,,Tshirt,grey,asap1.jpeg
,,Tshirt,beige,asap_rocky_outfit1.jpeg
,,shirt,grey,eminem.jpeg
,,Tshirt,black,eminem.jpeg
,,Tshirt,grey,eminem.jpeg
